source,destination,level
"*225*14400*","10*10*40005",0
"*225*14400*","10*12*40005",0
"*225*14400*","10*23*40005",0
"*225*14400*","10*34*40005",0
"*225*14400*","10*45*40005",0
"*225*14400*","10*67*40005",0
"*225*14400*","10*78*40005",0
"*225*14400*","10*89*40005",0
"*225*14400*","10002*40005",0
"*225*14400*","13332*40005",0
"*225*14400*","14442*40005",0
"*225*14400*","16662*40005",0
"*225*14400*","17772*40005",0
"*225*14400*","18882*40005",0
"*225*14400*","19992*40005",0
"*225*14400*","20003*40005",0
"*225*14400*","21113*40005",0
"*225*14400*","23*10*40005",0
"*225*14400*","23*12*40005",0
"*225*14400*","23*23*40005",0
"*225*14400*","23*34*40005",0
"*225*14400*","23*45*40005",0
"*225*14400*","23*67*40005",0
"*225*14400*","23*78*40005",0
"*225*14400*","23*89*40005",0
"*225*14400*","24443*40005",0
"*225*14400*","26663*40005",0
"*225*14400*","27773*40005",0
"*225*14400*","28883*40005",0
"*225*14400*","29993*40005",0
"*225*14400*","30004*40005",0
"*225*14400*","31114*40005",0
"*225*14400*","34*10*40005",0
"*225*14400*","34*12*40005",0
"*225*14400*","34*23*40005",0
"*225*14400*","34*34*40005",0
"*225*14400*","34*45*40005",0
"*225*14400*","34*67*40005",0
"*225*14400*","34*78*40005",0
"*225*14400*","34*89*40005",0
"*225*14400*","36664*40005",0
"*225*14400*","37774*40005",0
"*225*14400*","38884*40005",0
"*225*14400*","39994*40005",0
"*225*14400*","40005*40005",0
"*225*14400*","41115*40005",0
"*225*14400*","43335*40005",0
"*225*14400*","45*10*40005",0
"*225*14400*","45*12*40005",0
"*225*14400*","45*23*40005",0
"*225*14400*","45*34*40005",0
"*225*14400*","45*45*40005",0
"*225*14400*","45*67*40005",0
"*225*14400*","45*78*40005",0
"*225*14400*","45*89*40005",0
"*225*14400*","46665*40005",0
"*225*14400*","47775*40005",0
"*225*14400*","48885*40005",0
"*225*14400*","49995*40005",0
"*225*14400*","50006*40005",0
"*225*14400*","51116*40005",0
"*225*14400*","53336*40005",0
"*225*14400*","54446*40005",0
"*225*14400*","56*10*40005",0
"*225*14400*","56*12*40005",0
"*225*14400*","56*23*40005",0
"*225*14400*","56*34*40005",0
"*225*14400*","56*45*40005",0
"*225*14400*","56*67*40005",0
"*225*14400*","56*78*40005",0
"*225*14400*","56*89*40005",0
"*225*14400*","57776*40005",0
"*225*14400*","58886*40005",0
"*225*14400*","59996*40005",0
"*225*14400*","60007*40005",0
"*225*14400*","61117*40005",0
"*225*14400*","63337*40005",0
"*225*14400*","64447*40005",0
"*225*14400*","67*10*40005",0
"*225*14400*","67*12*40005",0
"*225*14400*","67*23*40005",0
"*225*14400*","67*34*40005",0
"*225*14400*","67*45*40005",0
"*225*14400*","67*67*40005",0
"*225*14400*","67*78*40005",0
"*225*14400*","67*89*40005",0
"*225*14400*","68887*40005",0
"*225*14400*","69997*40005",0
"*225*14400*","70008*40005",0
"*225*14400*","71118*40005",0
"*225*14400*","73338*40005",0
"*225*14400*","74448*40005",0
"*225*14400*","76668*40005",0
"*225*14400*","78*10*40005",0
"*225*14400*","78*12*40005",0
"*225*14400*","78*23*40005",0
"*225*14400*","78*34*40005",0
"*225*14400*","78*45*40005",0
"*225*14400*","78*67*40005",0
"*225*14400*","78*78*40005",0
"*225*14400*","78*89*40005",0
"*225*14400*","79998*40005",0
"*225*14400*","80009*40005",0
"*225*14400*","81119*40005",0
"*225*14400*","83339*40005",0
"*225*14400*","84449*40005",0
"*225*14400*","86669*40005",0
"*225*14400*","87779*40005",0
"*225*14400*","89*10*40005",0
"*225*14400*","89*12*40005",0
"*225*14400*","89*23*40005",0
"*225*14400*","89*34*40005",0
"*225*14400*","89*45*40005",0
"*225*14400*","89*67*40005",0
"*225*14400*","89*78*40005",0
"*225*14400*","89*89*40005",0
"*225*56644*","10*10*64447",0
"*225*56644*","10*10*67*45",0
"*225*56644*","10*12*64447",0
"*225*56644*","10*12*67*45",0
"*225*56644*","10*23*64447",0
"*225*56644*","10*23*67*45",0
"*225*56644*","10*34*64447",0
"*225*56644*","10*34*67*45",0
"*225*56644*","10*45*64447",0
"*225*56644*","10*45*67*45",0
"*225*56644*","10*455*4445",0
"*225*56644*","10*67*64447",0
"*225*56644*","10*67*67*45",0
"*225*56644*","10*78*64447",0
"*225*56644*","10*78*67*45",0
"*225*56644*","10*89*64447",0
"*225*56644*","10*89*67*45",0
"*225*56644*","10*95560*45",0
"*225*56644*","100*556*445",0
"*225*56644*","10002*64447",0
"*225*56644*","10002*67*45",0
"*225*56644*","13332*64447",0
"*225*56644*","13332*67*45",0
"*225*56644*","14442*64447",0
"*225*56644*","14442*67*45",0
"*225*56644*","16662*64447",0
"*225*56644*","16662*67*45",0
"*225*56644*","17772*64447",0
"*225*56644*","17772*67*45",0
"*225*56644*","18882*64447",0
"*225*56644*","18882*67*45",0
"*225*56644*","19992*64447",0
"*225*56644*","19992*67*45",0
"*225*56644*","20003*64447",0
